student_name,age,college_name,place,degree,qualification,skills_offered,skills_wanted,experience_level,learning_goal,preferred_learning_style,availability_days,availability_times,weekly_commitment_hours,swap_history_count,average_rating,response_rate,reliability_score,domain_interest,tech_stack_familiarity,project_interest_area
Aadhya Reddy,19,IIT Madras,Kolkata,B.Tech,Graduate,"[""Java"", ""SQL"", ""Graphic Design"", ""Digital Marketing""]","[""Video Editing"", ""SQL"", ""PowerPoint""]",Beginner,Academic research,Group sessions,Both,Afternoon,16,9,4.7,0.6,0.0,Software,"[""GCP"", ""SQL"", ""PowerBI""]",Academic
Avni Gupta,22,BITS Pilani,Ahmedabad,MBA,12th Pass,"[""Angular"", ""Digital Marketing"", ""Java"", ""Content Writing"", ""CSS""]","[""Deep Learning"", ""Machine Learning"", ""Digital Marketing""]",Expert,Hackathon prep,Async exchange,Weekdays,Night,4,13,5.0,0.61,0.15,Finance,"[""Azure"", ""React"", ""SQL""]",Startups
Reyansh Saha,23,SRM University,Bengaluru,BA,12th Pass,"[""NoSQL"", ""Docker"", ""Photography""]","[""Graphic Design"", ""Illustrator""]",Beginner,Academic research,Async exchange,Weekdays,Night,3,26,3.7,0.53,0.54,Data Science,"[""MongoDB"", ""Canva""]",Freelancing
Avni Ghosh,26,Calcutta University,Chennai,B.Com,Postgraduate,"[""Illustrator"", ""Photography"", ""Excel"", ""Content Writing"", ""PowerPoint""]","[""React"", ""Photoshop""]",Beginner,Hackathon prep,Group sessions,Weekdays,Morning,17,5,4.0,0.77,0.2,Design,"[""TensorFlow"", ""Java""]",Academic
Myra Malhotra,27,Mumbai University,Kochi,BBA,12th Pass,"[""PowerPoint"", ""React""]","[""Figma"", ""Java"", ""SQL""]",Expert,Hackathon prep,Async exchange,Weekdays,Evening,19,2,3.6,0.68,0.0,Software,"[""Java"", ""Canva"", ""Node.js"", ""Tableau""]",Open Source
Aryan Khan,24,BITS Pilani,Patna,MA,Postgraduate,"[""CSS"", ""Video Editing"", ""Digital Marketing""]","[""Machine Learning"", ""JavaScript""]",Expert,Prepare for job,Group sessions,Weekdays,Morning,5,11,3.2,0.67,0.0,Business,"[""Python""]",Open Source
Aarav Iyer,18,Banaras Hindu University,Kochi,B.Sc,Graduate,"[""Project Management"", ""Deep Learning""]","[""Java"", ""Video Editing"", ""SEO"", ""Content Writing""]",Beginner,Learn new language,Group sessions,Both,Afternoon,16,1,3.5,0.94,1.0,AI/ML,"[""Java"", ""Azure"", ""PyTorch""]",Academic
Myra Singh,22,BITS Pilani,Delhi,MA,Postgraduate,"[""CSS"", ""Angular"", ""Kubernetes""]","[""Excel"", ""Content Writing"", ""Public Speaking""]",Intermediate,Crack internship,Group sessions,Weekdays,Morning,19,29,4.7,0.64,0.93,Content Writing,"[""TensorFlow"", ""Python""]",Freelancing
Muhammad Reddy,23,Anna University,Hyderabad,BBA,Postgraduate,"[""Machine Learning"", ""Deep Learning""]","[""Photoshop"", ""Project Management"", ""React"", ""Illustrator""]",Expert,Learn new language,1:1,Both,Evening,17,26,3.4,0.82,0.58,AI/ML,"[""Django"", ""Python""]",Competitions
Siya Jain,19,IIT Bombay,Kolkata,B.Sc,Graduate,"[""Java"", ""CSS"", ""SEO"", ""Photography""]","[""Python"", ""Docker"", ""Photoshop"", ""Angular""]",Expert,Build portfolio,1:1,Weekdays,Evening,11,4,3.2,0.74,1.0,AI/ML,"[""Node.js"", ""JavaScript"", ""Tableau"", ""PyTorch""]",Startups
